Pincode,Hub Name,Cluster_Code,Description,Cluster_Category,Polygon WKT
761122,ASK_Asika,761122_D,₹3,C7,"POLYGON ((84.6376172802559 19.76200290791293, 84.638459 19.761566, 84.660857 19.751073, 84.668091 19.731886, 84.669364 19.730836, 84.670329 19.730042, 84.671013 19.729478, 84.671354 19.729196, 84.671697 19.728913, 84.673029 19.727816, 84.67425 19.72681, 84.67555 19.725738, 84.676301 19.725214, 84.676845 19.724835, 84.677816 19.724159, 84.678901 19.723402, 84.679888 19.722714, 84.681959 19.720293, 84.68175731436618 19.719695545439514, 84.649765 19.72693059271025, 84.63183041805375 19.725601047050592, 84.61975807056692 19.720890328429082, 84.61978 19.7241, 84.619867 19.736961, 84.62429 19.750619, 84.627155 19.759467, 84.631117 19.761379, 84.631713 19.76155, 84.63178493723913 19.761570537807202, 84.6376172802559 19.76200290791293))"
761122,ASK_Asika,761122_E,₹4,C9,"POLYGON ((84.63178493723913 19.761570537807202, 84.632368 19.761737, 84.632924 19.761897, 84.633394 19.762201, 84.6339 19.762513, 84.635078 19.763291, 84.636361 19.762655, 84.6376172802559 19.76200290791293, 84.63178493723913 19.761570537807202))"
492015,RPR_Dumartarai,492015_A,₹0,C1,"POLYGON ((81.7149462511278 21.179311154360626, 81.69958776236739 21.17053735499972, 81.6816323756846 21.16921991428228, 81.66499157904121 21.175645828779423, 81.65329102069357 21.188415184403887, 81.64908167118729 21.204745618777316, 81.65098907851754 21.21215973593798, 81.655841 21.21402, 81.659231 21.21478, 81.683006 21.21426, 81.689296 21.2159, 81.692904 21.212789, 81.697377 21.208932, 81.700687 21.206078, 81.704814 21.201608, 81.72423383277388 21.193436305877857, 81.7149462511278 21.179311154360626))"
492015,RPR_Dumartarai,492015_B,₹1,C3,"POLYGON ((81.62117319451467 21.16961780344726, 81.652727 21.176935, 81.649894 21.186061, 81.648801 21.18958, 81.647566 21.193561, 81.643684 21.191592, 81.641863 21.190828, 81.640042 21.190658, 81.640953 21.194733, 81.641711 21.196345, 81.643289 21.198071, 81.645722 21.199501, 81.644789 21.202464, 81.642323 21.210259, 81.64979 21.2117, 81.65098907851754 21.21215973593798, 81.64908167118729 21.204745618777316, 81.65329102069357 21.188415184403887, 81.66499157904121 21.175645828779423, 81.6816323756846 21.16921991428228, 81.69958776236739 21.17053735499972, 81.7149462511278 21.179311154360626, 81.72423383277388 21.193436305877857, 81.737424 21.187886, 81.722029 21.168899, 81.711687 21.166579, 81.706515 21.165418, 81.704137 21.164885, 81.701344 21.164258, 81.695879 21.158598, 81.684833 21.150787, 81.664263 21.155768, 81.655094 21.154183, 81.63243064809237 21.15733461258677, 81.62117319451467 21.16961780344726))"
492015,RPR_Dumartarai,492015_C,₹2,C5,"POLYGON ((81.63243064809237 21.15733461258677, 81.622533 21.158711, 81.62327 21.159179, 81.624068 21.159685, 81.624809 21.160155, 81.625143 21.162164, 81.624172 21.163635, 81.623694 21.163786, 81.623435 21.163867, 81.623103 21.163972, 81.623066 21.163984, 81.622855 21.164051, 81.622535 21.164151, 81.622399 21.164194, 81.622108 21.164286, 81.621052 21.165585, 81.620839 21.165847, 81.620001 21.16688, 81.618315 21.168955, 81.62117319451467 21.16961780344726, 81.63243064809237 21.15733461258677))"
492101,RPR_Dumartarai,492101_A,₹0,C1,"POLYGON ((81.72577873177731 21.210373121242743, 81.72436106689993 21.193629811720083, 81.72423383277388 21.193436305877857, 81.704814 21.201608, 81.72125788155033 21.220553834363393, 81.72577873177731 21.210373121242743))"
492101,RPR_Dumartarai,492101_B,₹1,C3,"POLYGON ((81.75011726552863 21.24702715740988, 81.76389336459633 21.21598769133318, 81.76104960939895 21.18250170348739, 81.7592765966867 21.179806078265745, 81.752805 21.182119, 81.737424 21.187886, 81.72423383277388 21.193436305877857, 81.72436106689993 21.193629811720083, 81.72577873177731 21.210373121242743, 81.72125788155033 21.220553834363393, 81.732313 21.233291, 81.736152 21.236997, 81.733765 21.237817, 81.736165 21.23701, 81.74815913089597 21.24858674068653, 81.75011726552863 21.24702715740988))"
492101,RPR_Dumartarai,492101_C,₹2,C5,"POLYGON ((81.78135583127234 21.268157113662344, 81.80201089510322 21.22159370713612, 81.7982646974633 21.17761232639225, 81.79794 21.177609, 81.768334 21.176569, 81.7592765966867 21.179806078265745, 81.76104960939895 21.18250170348739, 81.76389336459633 21.21598769133318, 81.75011726552863 21.24702715740988, 81.74815913089597 21.24858674068653, 81.769039 21.26874, 81.7764115220944 21.272095596438362, 81.78135583127234 21.268157113662344))"
492101,RPR_Dumartarai,492101_D,₹3,C7,"POLYGON ((81.8126033655546 21.289281311038458, 81.83301751877026 21.243236562266507, 81.82379 21.206499, 81.829454 21.197056, 81.818126 21.186973, 81.83573582274703 21.17573972881459, 81.83441012154518 21.160221750184707, 81.83000186473168 21.153523990498044, 81.829433 21.153477, 81.813558 21.177769, 81.7982646974633 21.17761232639225, 81.80201089510322 21.22159370713612, 81.78135583127234 21.268157113662344, 81.7764115220944 21.272095596438362, 81.791179 21.278817, 81.79928194996718 21.299894138845588, 81.8126033655546 21.289281311038458))"
492101,RPR_Dumartarai,492101_E,₹4,C9,"POLYGON ((81.87001705491565 21.25137005846581, 81.85302 21.258341, 81.833418 21.244831, 81.83301751877026 21.243236562266507, 81.8126033655546 21.289281311038458, 81.79928194996718 21.299894138845588, 81.800421 21.302857, 81.795579 21.320724, 81.816722 21.316654, 81.84430061988601 21.30940510684829, 81.87001705491565 21.25137005846581))"
